gene,score_logreg,score_wilcoxon
uroc1.L,,0.015094847418367863
Xelaev18008739m.g,,0.015094847418367863
Xelaev18021454m.g,,0.015094847418367863
lpar2.L,,0.015094847418367863
loc105946344.L,,0.015094847418367863
Xelaev18011139m.g,,0.015094847418367863
itga2b.like.L,,0.01504914928227663
gpx2.L,,0.007585982326418161
Xelaev18008740m.g,,0.007563132792711258
slc28a2.L,,0.007560276426374912
Xelaev18039198m.g,,0.007560276426374912
lcmt2.L,,0.007560276426374912
Xelaev18012699m.g,,5.7123357692034915e-05
kcnk18.L,,5.141102519701235e-05
loc100487852.S,,2.5705512598506175e-05
aloxe3.L,,-0.000699761149007827
lrtm1.S,,-0.00750600965693593
