gene,score_logreg,score_wilcoxon
gsta1.L,0.47482696175575256,
ca2.L,0.40380293130874634,70.14827728271484
sema3f.like.1.L,0.3949975073337555,
MGC75752.S,0.3826311528682709,42.892330169677734
loc100491288.S,0.3752886652946472,
rasl11b.L,0.3363099992275238,
spib.S,0.3241696059703827,
Xelaev18022528m.g,0.3093656897544861,
ramp3.L,0.30531442165374756,1.230002999305725
Xelaev18016080m.g,0.30474406480789185,
snai1.S,0.3033753037452698,
pxdn.L,0.2991603910923004,
wasf1.S,0.29732391238212585,
Xelaev18047463m.g,0.29152539372444153,50.06448745727539
rgs5.L,0.2808521091938019,0.0603308342397213
pgd.L,0.2778850197792053,
rasl11b.S,0.2750135362148285,
cyp26a1.L,0.27459171414375305,
mpo.L,0.2744762599468231,
Xelaev18040313m.g,0.273456871509552,
cd53.S,0.27051398158073425,
loc100491922.like.S,0.2687012851238251,
prdx2.L,0.2584480941295624,65.91364288330078
fez1.L,0.2558993697166443,
cystm1.S,0.2546291649341583,
cav1.L,0.25416871905326843,
Xelaev18011459m.g,0.25411275029182434,
ftmt.S,0.25411075353622437,
plvap.L,0.2500145435333252,0.6883279085159302
adm.S,0.24454247951507568,
loc100491128.L,0.23924264311790466,
tek.S,0.23867365717887878,
Xelaev18009066m.g,0.23735782504081726,0.49607354402542114
fbp1.L,0.23615288734436035,
Xelaev18013621m.g,0.23587140440940857,
esm1.L,0.2325720489025116,0.05224502459168434
serpinb1.L,0.23161110281944275,
cd34.L,0.22865334153175354,2.4101145267486572
krt12.L,0.22685083746910095,
ak7.S,0.22593651711940765,
nr4a2.L,0.22496095299720764,
lamb1.S,0.22366341948509216,
tal2.L,0.2232251614332199,
sstr1.L,0.22173231840133667,
Xelaev18040329m.g,0.2214883714914322,
ecm1.L,0.22004756331443787,
Xelaev18022650m.g,0.2190190851688385,
mylk4.S,0.21871386468410492,
Xelaev18003937m.g,0.2184654176235199,
Xelaev18002241m.g,0.21815568208694458,72.12995147705078
col11a2p1.S,0.21492983400821686,
ranbp3l.like.L,0.21483604609966278,
crip1.L,0.21322572231292725,
lyg2.S,0.21260352432727814,
Xelaev18005287m.g,0.2121700495481491,
gm2a.S,0.2117420881986618,
Xelaev18042137m.g,0.2113102823495865,
ppp1r15a.L,0.21123827993869781,
tspan3.like.1.L,0.2111668437719345,
emx2.L,0.2083359956741333,
sox9.S,0.2076779454946518,
ddit4.S,0.2064812332391739,
Xelaev18047861m.g,0.20630952715873718,1.9005769491195679
col6a2.L,0.20448091626167297,
col5a1.like.S,0.20401881635189056,
phldb3.S,0.20190350711345673,
ccl4.L,0.20189571380615234,4.7967400550842285
loc100493268.L,0.20010733604431152,
cyp27b1.L,0.1996968388557434,
pltp.S,0.19811928272247314,
f2rl3.L,0.19735562801361084,
pdgfd.S,0.19296184182167053,
tubb2b.L,0.19237753748893738,
lpar3.L,0.1908891499042511,
nmral1.S,0.19084355235099792,29.418895721435547
Xelaev18045095m.g,0.19081932306289673,55.68400955200195
loc100486088.L,0.18950048089027405,
loc101731919.S,0.1873021423816681,
nadk.S,0.1872544288635254,
fhl5.S,0.18623529374599457,
sh2d6.L,0.18542605638504028,
slc38a4.L,0.1852138191461563,
sox8.L,0.18429315090179443,
Xelaev18047462m.g,0.1837920993566513,47.74552917480469
